x,y,true_label,cluster,plot_x,plot_y,point_type
31.95,7.95,3,0,1.8580443041537034,-1.2243939691073729,border
31.15,7.3,3,0,1.748278062732474,-1.3191984273991753,border
30.45,6.65,3,0,1.6522326014888986,-1.414002885690978,core
29.7,6.0,3,0,1.5493267501564962,-1.508807343982781,core
28.9,5.55,3,0,1.439560508735267,-1.5744411997232597,core
28.05,5.0,3,0,1.3229338772252113,-1.6546603567394005,core
27.2,4.55,3,0,1.2063072457151551,-1.7202942124798792,core
26.35,4.15,3,0,1.0896806142050992,-1.7786354175825272,core
25.4,3.85,3,0,0.9593332025173893,-1.822391321409513,core
24.6,3.6,3,0,0.8495669610961605,-1.858854574598668,core
23.6,3.3,3,0,0.7123591593196239,-1.902610478425654,core
22.75,3.15,3,0,0.5957325278095678,-1.9244884303391467,core
21.85,3.05,3,0,0.4722455062106851,-1.9390737316148088,core
20.9,3.0,3,0,0.34189809452297504,-1.9463663822526398,core
20.0,2.9,3,0,0.2184110729240924,-1.9609516835283016,core
19.1,3.0,3,0,0.09492405132520976,-1.9463663822526398,core
18.2,3.2,3,0,-0.02856297027367338,-1.917195779701316,core
17.3,3.25,3,0,-0.15204999187255602,-1.909903129063485,core
16.55,3.5,3,0,-0.2549558432049584,-1.87343987587433,core
15.7,3.7,3,0,-0.3715824747150146,-1.8442692733230062,core
14.85,4.1,3,0,-0.4882091062250706,-1.7859280682203582,core
14.15,4.4,3,0,-0.584254567468646,-1.7421721643933723,core
13.4,4.75,3,0,-0.6871604188010484,-1.6911236099285554,core
12.7,5.2,3,0,-0.7832058800446241,-1.6254897541880768,core
12.05,5.65,3,0,-0.8723909511993726,-1.5598558984475976,core
11.45,6.15,3,0,-0.9547156322652947,-1.4869293920692879,core
10.9,6.65,3,0,-1.0301799232423896,-1.414002885690978,core
10.3,7.25,3,0,-1.1125046043083116,-1.3264910780370065,core
9.7,7.85,3,0,-1.1948292853742335,-1.2389792703830347,core
9.35,8.35,3,0,-1.2428520159960212,-1.166052764004725,core
8.9,9.05,3,0,-1.3045955267954625,-1.063955655075091,core
8.55,9.65,3,0,-1.3526182574172503,-0.9764438474211193,core
8.15,10.35,3,0,-1.407501378127865,-0.8743467384914857,core
7.95,10.95,3,0,-1.4349429384831724,-0.786834930837514,core
7.75,11.7,3,0,-1.4623844988384795,-0.6774451712700492,core
7.55,12.35,3,0,-1.4898260591937869,-0.5826407129782464,core
7.45,13.0,3,0,-1.5035468393714406,-0.48783625468644365,core
7.35,13.75,3,0,-1.5172676195490942,-0.37844649511897893,core
7.3,14.35,3,0,-1.5241280096379208,-0.29093468746500717,core
7.35,14.95,3,0,-1.5172676195490942,-0.20342287981103546,core
7.35,15.75,3,0,-1.5172676195490942,-0.08674046960573968,core
7.55,16.35,3,0,-1.4898260591937869,0.0007713380482322984,core
7.7,16.95,3,0,-1.4692448889273064,0.08828314570220376,core
7.8,17.55,3,0,-1.4555241087496527,0.17579495335617573,core
8.05,18.15,3,0,-1.4212221583055185,0.2633067610101472,core
8.3,18.75,3,0,-1.3869202078613845,0.35081856866411915,core
8.65,19.3,3,0,-1.3388974772395967,0.43103772568026005,core
8.9,19.85,3,0,-1.3045955267954625,0.5112568826964009,core
9.3,20.3,3,0,-1.249712406084848,0.5768907384368797,core
